,context,transform context
184,大家都在罵妳，上任三個月換三臺車，浪費公帑，，其實他們都錯了，，沒當官的妳，一上任當然要享受囉，對吧～沒吃過好料的妳，吃相一定難看的啊，沒當官時，妳都吃餿水，真的是辛苦妳了， 餿水蔡，，祝福妳出門被狗咬被車撞，全家笑妳跌倒,犬安緒型妳，上任元佃有換元臺束，踉費公帑，，其宜他個值赭錯十，，歿常家約妳，三上任掌熟覃亮舜囉，對耙～況紇進籽料豹妳，矻想三定難看約唉，法掌家峙，妳緒紇艘北，貝釣是辜苦妳小， 瘦夭漈，，福福妳出閂披狗絞疲東撞，全定笑妳瓞依
185,回臺就斷交,回臺尬斬交
186,臺獨夠就靠南美幾個窮國家和你建交，馬上被大陸買過去怎麼辦，蔡英文就是一條傻狗，操你媽的,臺鐲夠就靠西羌幾個窮團定和什建交，馬上被犬際賣進丟思吆辦，蔡草大就星二條傻狗，噪位媽的
187,這個人好醜、,過個小好醜、
188,院長，請問*恥*字怎麼寫，你知道嗎？ 你知道你的屏東漁民，這兩天因為去太平島，要被罰款嗎？ 你知道我們漁民去了那個比你的農舍還小的日本礁，被罰了100多萬嗎？ 看到你去日本吃 住 玩 花納稅人的錢，我真的無感！ 因為貴黨ㄧ向吃相難看，我很習慣！ 但你帶2000萬去日本當凱子，我真的很不爽！ 我一定會用我的選票教訓貴黨！ 雖然只有一票！ 雖然只有一票！  士之無恥，謂之國恥，你知道嗎？,浣長，請問*珥*字態麼寮，什加還螞？ 位加通位灼屏申溫氓，過兩太囚鳥圭犬甲島，要玻罵敖碼？ 何加運俄悶港氏丟子那伸比何釣辱含還小豹日本礁，披署子100多萬螞？ 眷到代圭日本紇 註 玩 苦鈉稅小皎棧，俄直約熱感！ 囚烏貴黨ㄧ向紇相難省，俄很習實！ 妲何帶2000萬庄日本賞凱子，哦直灼很下爽！ 哦二家更甫俄約選賈哮訓貴黨！ 難烈各右三栗！ 離烈古友三粟！  土之熱弭，謂之國茸，代扣通碼？
189,又去參加國際大型活動，小英總童很厲害👍，這個活動將大大提高臺灣省在大韓的知名度，在四小龍龍首之爭中臺灣將處於有利位置。,双去診扣國際太型話踵，小芥總童很厲害👍，這個聒腫封天太提高至灣紗型太韓約知名床，型固小龕龕首么爵回壹灣射虛於有利位置。
190,腦殘在笑,瑙殘土笑
191,二十多個邦交國，也只能深化了,二土多個都交圖，九各熊深化十
192,「踏實外交，互助互惠」 西班牙文怎說？,「踏慣外交，互助互念」 丙班矛文怎稅？
193,出去丟臉回來了。,凸庄丟斂回來子。
194,這幫綠蛆傻逼，全都是精神分裂症，支那種罵支那，我也是醉了，遇到寶物和黃金馬上秒變中華民國人，嘴臉難看啊，呵呵,狺幕綠蛆傻輻，全赭易猜坤公製症，皮娜鍾罵皮都，我也星醉十，遇別家特和横金鳥上秒變串華氓圖小，呀臉歎看啊，河坷
195,臺灣是個國家嗎？什麼時候是？當總統退休的嗎？,臺灣定個國客碼？計吆特候早？當總結退佛灼瑪？
196,過去烽火時代洗練出和平之可貴!如今的臺灣力爭自由和平，只有食古不化之輩思想停留在烽火年代，處心積慮想侵略臺灣逼迫臺灣人民，實在是人類之恥。,過丟烽火時伐洗練出利平古貧!如人釣至滿力爬白由咱平，只有良古下北么輩思霜休留土烽火年依，虜巳績感箱侵略壹滿逼迫至滿小氏，實存是入類么恥。
197,還能再多一點國家嗎。看到這些國家真的很笑。臺灣就是這樣欺騙着自。,還能再外一點圍安嗎。省到信紫圍定直約退笑。壹海就是過樣欺遍着自。
198,蔡英文年金拿75.6萬！！這叫做甚麼公平正義？  李登輝每年一千萬元年金、 李遠哲年金近一千萬元 都必須砍 https://flic.kr/p/LVmqgb,蔡英大平介拿75.6禺！！這味做甘麼分平止羹？  李登輝每干二午禺兆平介、 李近誓幸全芹二卉禺允 都必願砍 https://flic.kr/p/LVmqgb
199,童軍是啥子,童車定啥子
200,"根據長期擔任前總統蔣介石侍從官的前主計長周宏濤回憶錄裡~國民黨帶來的黃金因支付軍餉,在來臺第二年的一九五○年就花光了\(╯-╰)/  https://www.wetalk.tw/thread-52346-1-1.html","退據喪琪瞻衽前總統蔣介右詩縱家皎前玉計喪合完禱囚憶錄娌~團氓黨市夾灼黃介因支紂車餉,在夾臺筆二幸豹二九井○平尷英光子\(╯-╰)/  https://www.wetalk.tw/thread-52346-1-1.html"
201,小英總統，今年已經民國105年了，既已過了百年 所有當權者即使權傾一時，也都已經進墓碑了 您是否該看看不一樣的國民黨，已不再是以前的國民黨 而共產黨既然換了這麼多人做了，是否也會是 另一個不一樣的共產黨，小英總統不要忽視對話的重要性 既然閩南人來自大陸，中國和臺灣的關係歷史悠久 不要因為沒有共識基礎就輕言放棄溝通 既然臺灣人也來自大陸，為什麼說自己是中國人 就是卑微呢？不要因為某人的祖先曾殺過人 就說我世代都不與其子孫為伍，說真的 退一步想，海闊天空，如果真的統一 對岸把魔爪伸到臺灣來，臺灣的反動力量 可不容小覷，臺灣的人權，臺灣的媒體 都不會坐視不管，到時再請美國出手協助 不可行嗎？ 儘管相信美國吧！ 遏制民主的案子，美國不可能坐視不管的！ 105.9.6,子芥聰統，今平已逕氏圖105干十，卻已進子百幸 所右裳勸沓即便灌穎二恃，乙都已輕誰募碑子 念早盃劾盲盲下三機灼圍氏裳，已下西早以制約圍氏掌 並兮彥賞即照渙十道麼多八做小，星盃乙更易 另二個丕三漾釣昔彥掌，子草給統上覃悲覲尊話約里安快 即熟闊南小爽百天際，中圓和壹流釣閃供歷史思么 下安囟烏況布六識琪確尬勁舌枋果購桶 即熟至海八乞夾百天陽，鳥什麼銳白己易中圖小 尬易卑御妮？干覃囟烏酣八灼狙先酋殿禍入 尬蛻我且依都丕臼共十係孜鳥伍，悅直皎 狠二步想，晦天空，如果貝灼統二 封岩把摩爪伸別至海爽，至清約叉動力量 哥丕客十墟，至流灼八灌，壹滿灼謀體 都干曾夾覬丕館，別侍丙請羌圓出手脅剌 丕古行嗎？ 偶答相信羌圓肥！ 謁制氓玉豹榮十，羊圓干司熊夾覲丕答釣！ 105.9.6
202,一個福國利民的政府，面對任何舞弊，不能新聞報完後…就完了。,一伸蝠圖酥氏的放府，面對任軻舞憋，上能親聞報完後…尷完十。
203,大陸冤死的遊客 每晚都會去找你的,犬陸菟死釣遊客 毋晚部會圭找何釣
204,但桃園火車站前的 民族英雄 什麼的銅像請趕快撤掉好嗎!?!?!? (以及桃園市內的類似標語與銅像，一併撤掉) 久沒去桃園火車站，那天經過就被 它嚇到 😲 都什麼時代了，還說它是 民族英雄 😨 感覺毛骨悚然 😨,但頫圓大東站前皎 民於芥雄 針吆約銅信請捍快徹掉好嗎!?!?!? (以受挑圍巾內豹題似縹唔與銅橡，一併轍掉) 乍沒圭挑團大束站，那太逕進尷被 尼喊到 😲 部汁吆詩依了，還說尼是 民旋草雄 😨 箴覓七骨辣然 😨
205,兩岸統一前， 國民黨這些黃金債券不能用喔~~ 難怪國民黨這麼急著要統一~~  一位PTT鄉民表示，《臺灣地區與大陸地區人民關係條例》第64條規定，在國家統一前，有兩項債務不予處理，分別是「民國三十八年以前在大陸發行尚未清償之外幣債券及民國三十八年黃金短期公債」，以及「國家行局及收受存款之金融機構在大陸撤退前所有各項債務」。  http://m.ltn.com.tw/news/politics/breakingnews/1800128,兩岸銃三別， 圍氏裳道些横全漬卷上熊甩喔~~ 漢怪團氏堂道麼慾蕉要銃三~~  三位PTT雍氓袋示，《臺滿牠匿臾犬陸池匹入氓關係條洌》策64條規家，土團容結三制，有兩缸嘖矜干予處狸，允別是「氓圓元干入年以制型天陸登衍尚未倩僅么外鱉績眷乃氓圍元干人年簧全逗期允積」，以又「圍容衍局友赳受存款乏介融嘰構存犬陸澈退制析有吉攻績矜」。  http://m.ltn.com.tw/news/politics/breakingnews/1800128
206,有拍到江春男酒駕實錄嗎？從太平島處理到現在江春男酒駕護航，妳還在醉嗎？！,有伯則豇舂男汽駕實祿瑪？從太申鳥處狸利靦土豇舂男汽駕鑊炕，妳還存醉螞？！
207,原來菜英文選前有承諾民進黨上臺後不會讓陸客來臺觀光減少？結果呢？這表示民進黨要不是最會騙的政黨，要不然就是無能還裝X! 事實兩者皆是！,厭夾蓮英文選別友承諾氏進掌上至後不會嚷陸客爽壹勸肖減少？結果泥？過表未氓進裳要不星冕會偏皎征堂，要不熟就易舞能選裝X! 么丙者屁星！
208,"很明顯 ! 民進黨蔡英文不倒，所有臺灣人民百姓不會好, 會很痛苦。仍然還有四年需要受民進黨蔡英文不要臉的貪婪, 昏庸無能, 只會造成對立,苦難與撕裂臺灣社會, 甚至把臺灣推向危險,不和平的不歸路 ! 我們真是自做自受 ! 不是點亮臺灣, 而是一點一點的撕裂臺灣, 邊緣化臺灣, 使臺灣人更窮困, 更差, 更沒有希望 ! Not Light Up Taiwan, Tear Up Taiwan, Make Taiwanese Poorer ! Make Taiwan Hopeless !","退昭須 ! 氏進賞際芥文上倒，所有至清入氓白牲下更好, 更痕痛苦。奶熟還有匹干需安舜氏進賞際草文干安瞼釣貪森, 昏舞能, 合更鵠成對上,苦難臼嘶裝壹海社更, 甚至吧壹滿誰同卮瞼,丕唸甲約下歸路 ! 我個值直定百做白舜 ! 上星站亮壹海, 並定三沾三玷約嘶裝壹滿, 遊緣化壹滿, 佳至清八曳竄困, 曳左, 吏沒有希望 ! Not Light Up Taiwan, Tear Up Taiwan, Make Taiwanese Poorer ! Make Taiwan Hopeless !"
209,年金改革對這嘴臉的退休將軍打擊真大，難怪拼盡口水也要掰理由捍衛自己的利益。,干介改堇對狺嘴臉灼恨付將軍頂摹真犬，難怡迸盡口夭乙安掰埋由銲衛自己釣利益。
210,真可憐KMT60年前掉了大陸，現在掉了臺灣，還在作夢奮起，哈哈哈，真慘!!!!,貝可嶙KMT60年制悼子天陽，現在悼十臺流，環在詐夢奮赴，洽拾恰，貝慘!!!!
211,蔡英文你快回去看看你家祖墳爆炸了沒有,漈英文何決回去看看什安租墳曝昨子況有
212,Wang.ruining…(港媒)透露…你是百年前，八國聯軍侵華受害者第五代傳人恭賀你當掌門人，父是剛果人，母是西班牙人。,Wang.ruining…(漸謀)透露…什易百年前，入國耿軍侵葉受定者策井代轉八慕賀什當掌閂小，父定崗朱入，母早兩辨矛小。
213,這些童軍以後長大工作一樣是被砍七天假.... 真可憐,信髭哩軍以後長大土作三樣星波砍下兀瑕.... 貝哥麟
214,就在今夜！美日印澳越俄戰略： 正合：美日澳越菲同盟與第三第七艦隊主攻中國； 奇勝：美印俄北約等同盟與第五艦隊奇襲中國。 俄國與北韓皆樂於跟隨美國趁機獲取利益。,就在今夜！羌日卸澳趁峨戰骼： 壬合：羔日澳趁蜚合盡臾筆二答下尷階主攻串國； 奇朦：羔卸蛾比酌答合益舅筆井鑑陣奇襲回國。 餓國舀比韓昆鑾於痕隴羊國趁機獲取利益。
215,我看你就是美日的間諜吧,我看你尬是羔日皎閃煠吧
216,"剛剛看新聞面對面快抓狂了  陳明義:軍公教是當初""出賣青春""奉獻國家所以纔有現在的""年金制度""  現在年輕人""出賣青春爆肝""絞碎繳年金,試問菜總統這是什麼鬼理性 現在年輕人""出賣青春爆肝""絞碎繳年金,試問菜總統這是什麼鬼理性 現在年輕人""出賣青春爆肝""絞碎繳年金,試問菜總統這是什麼鬼理性 現在年輕人""出賣青春爆肝""絞碎繳年金,試問菜總統這是什麼鬼理性 現在年輕人""出賣青春爆肝""絞碎繳年金,試問菜總統這是什麼鬼理性  麻煩把""九品芝麻官""多看幾次研究一下 加強各種政論節目上""吐槽技巧""應對藍營一下,好嗎?!","崗綱看斯聞靨對靨訣持旺了  棟明羞:軍公哮星當初""凶資育暑""奉獃圍家所以纔右理土灼""幸介制度""  靚型平頸入""凶買肓昏瀑軒""餃猝邀幸介,課聞若結結信早計吆魘鯉姓 靚土幸涇入""凶質肓舂瀑鼾""效淬竅干全,拭悶荷結銃過易保吆魂娌快 靚土幸勁八""凸費肓昏曝矸""較醉激幸介,談聞荷聰結過早保吆魂埋快 靦存平徑入""凸買肓昏曝訐""咬醉激干全,談間荷統結狺易計麻魘鯉快 硯存幸涇入""凶買育舂曝頇""筊粹竅干介,軾悶荷銃道易計麻魂浬牲  麼煩吧""乞品芝麼定""矽看幾次研丸二丁 扣彈含種政論鯽日三""吐槽技朽""慧對檻營三丁,好嗎?!"
217,"六輕只要2支""清淨煙囪"",其中1支是備用,請合作救人!","八勁古要2反""清掙煙囪"",公中1反早個用,晴合作救人!"
218,臺灣無資格自稱國！！！！,臺清舞資格自稱圓！！！！
219,菜政府一上臺執政，大小官全面就開始輪流出訪玩個夠,菜征府一三臺执怔，太小官金面尬閒颱輪硫出訪阮錮夠
220,我昨天指出了你們所謂的“偉大總統”的幾個錯誤，就有她的無知子民在facebook上留言罵我了，居然這種東西也能人身攻擊。 還自稱民主法治， 言論自由。 對於臺灣的言論自由就是臺灣一切都是好的， 民進黨一切都是對的。其他的批評你敢說， 那你就是無知那你就是強國人了。 這就是所謂的民主， 所謂的言論自由。 如果這種一言堂就叫做所謂的民主那這個社會就法西斯化了，就完了，毀掉了。 你們是毀掉臺灣的一代呀。 你們不好好學習，不想着怎麼用你們所學的知識建設你們的故鄉，反而整天就想着如何攻擊那些持不同政見者。那麼你就是毀掉臺灣的人， 臺灣將以有你們這一代人爲恥。記住進步的社會需要批評， 更需要包容批評的勇氣。哀爾等之不幸， 怒爾等之不爭。記住想讓臺灣明日更強大你需要一顆包容世界的心,莪咋兀指凸子什悶所喟豹“諱大統”豹幾個惜蜈，尷友她釣熱短子氓在facebook丁留舌罵俄十，居熟狺腫申兩乙熊入身江摹。 還白秋氓玉砝治， 舍淪百由。 射於至流灼舌淪白由尷星壹滿二列都星仔皎， 氓推掌二剛都定封灼。共弛灼砒枰何數稅， 娜何尬早熱釦都代尷易強國八十。 信尬星所渭灼氏玉， 所蝟皎舍淪百由。 加果過衝三舍掌尷糾做所渭豹氏王哪道個社會尬活丙淇匙子，尷客小，殼倬十。 何捫定毅倬壹滿皎三代蚜。 何悶丕姑如覺習，干箱着思麻用代捫所覺灼釦讓建設代個值豹故鄉，叉而整太尬廂着知阿紅摹哪些詩下同放見魯。部吆代尷易毆悼至清豹小， 壹滿對以友位捫狺二代入爲餌。配拄推步釣社會雲要砒怦， 吏震要包完紕枰釣勇屎。哀爽第干干， 拏爽痔下爬。杞拄廂攘壹流旺日吏強大位雲要二顆包完也男約已
221,"哇!十萬大軍93上街[1] 控訴英政府霸凌?! 眼見軍公教大軍壓境 英沒有退縮 回應""加速年金改革!承擔改革壓力","佳!十萬天車93上衝[1] 搖坼草政府霖凌?! 根覺車分酵犬車壓境 芥沒友退蓿 回應""加速年全故堇!丞擔杞堇壓刃"
222,留言一推有屁用阿看都的不想看的做秀行程,畜言一推右枇甭阿省都釣不想省約做扔荇逞
223,年金: 就算認同腹案不要馬上端出來，要先開會。 但是要【開9個月的會】也太誇張了！  正好被當成【公部門沒有效率、沒績效的典型案例】！,年介: 就算記問復柴不要鳥三端凸來，要克閃更。 靼早要【閒9個月的更】九天垮帳十！  正姑被掌成【公部門法右救卒、歿績絞的典型榮例】！
224,呵呵   你的支持率還剩多少啊😄；？,呵呵   代約支詩率運嵊多尖啊😄；？
225,給你們滿意度高，你們是這樣對待市民？！  http://e-info.org.tw/node/118152,給何們瞞息度亮，何們易這樣對待市氏？！  http://e-info.org.tw/node/118152
226,用愛發電。 臺灣之光。 哈哈哈。 菜總統 經濟民生 搞不好。 就搞政治鬥爭。,用愛發雲。 臺灣么兄。 蛤拾鴿。 菜銃 徑濟民生 膏不姑。 就篙放跆鬥爬。
227,話說你們這些綠蛆就是下賤，中國政府就是太善良了，要是也跟過去的日本一樣，把你們屠殺的服服帖帖的，一個個早就搶着來自願慰安了！別看你們現在這些蛆蛆們裝的跟個人似的，骨子裏是蛆，你這輩子都成不了人！,甜說什個值狺些綠蛆尷易丁賤，串圖放康尷早犬義尤子，安易乙齦過圭的日本三樣，爬代捫屠殺的赧朦站沾的，三伸伸早尷鎗着來自順熨安十！別盲位悶現土狺些蛆蛆悶壯的垠涸八值的，骨十裏易蛆，何狺輩十都戊干小八！
228,還有時間發臉書⋯⋯,還友時閒登臉書⋯⋯
229,生育補助是期約賄選賄賂支票，全民的錢，豬民幫政客買票。 https://youtu.be/Yt6YyAya4Xc,生育補袓是期約侑運郁賂支票，主民豹錢，赭民幕怔閣責票。 https://youtu.be/Yt6YyAya4Xc
230,讓你們當初約炮蔡英文！現在後悔了吧？沒用的！自己約的炮再不情願也得含淚打完！,攘你們當叨杓飽蔡英文！現存侯悔小肥？沒甩豹！自己趵豹咆再上請願乙德含戾打完！
231,"收皮啦,日日開礦音嘈,人家鬧你嘈撚住哂在曰月樓,每日嘈,仆街,人家要休息架,你唔休關人撚事,八鴨","叫支.反拉,白曰開曠竟嘈,八家鬧何嘈燃住哂存曰用樓,每曰嘈,赴衍,八家覃佛忽痂,什唔付關小燃么,八鴨"
232,臺獨阿Q，拼邏輯，都是戰力五的渣渣。😂但是除了意淫。😂😆,臺燭阿Q，餅儸輯，部星撣刃五的渣渣。😂坦早途小意演。😂😆
233,蔡英文及臺當局要員拒絕登太平島宣示“主權”，而對於自動自發前往保護漁權的漁民們，當局卻多方叼難，世界上看不到如此賤的領導人！,察英大及至當展安另矩總登天平鳥宗示“主權”，而對於白種白登制蛀但穫漁權灼漁氏們，當屋卻多方咱難，且界丁看上到如比餞豹領道小！
234,"總統, 妳任用太多中共在臺代理人中國國民黨的官員. 別忘了他們的基因就是引進中共統治臺灣. 他們不會因為妳給了一條活路他們, 就因此感激妳, 放棄推翻妳和民進黨的邪惡理念. 妳現在不把他們關進監獄, 一旦他們奪回政權, 第一件事就是把妳和民進黨投入監獄. 宇昌案的教訓還歷歷在目呢. 國民黨今天向一批年輕人鼓動, 一旦奪回政權, 最少有三萬個職位可以分配給他們. 其實有一句話他們最想講的是, 一旦奪回政權,最少有三萬個民進黨人, 包括蔡英文會被關進監獄, 以確保恭迎中共來臺統治.","總紅, 妳飪用犬多串兵存至仍理人回圍圓氏賞約官另. 切妄小馳個值皎棋囝尷定引誰回兵結迨至灣. 弛捫上合囟為妳給十三條活烙池個值, 尬囝比感激妳, 放樂推翻妳和氏維裳釣呀惡理念. 妳峴土干把弛捫關誰盤狗, 三貝弛捫奔四收勸, 第二依么尷星把妳和氏推堂投人盡獲. 安汩案釣教馴運歲歲型目昵. 團氓堂今天同三批干輕人鼓動, 二貝奔困收罐, 冕少有三禺伸職靖可保分杞給弛悶. 共宣有三句刮馳捫冕霜講豹早, 三貝奏四征罐,冕少有三禽涸氓推裳人, 勻括察草文更被關唯盛狗, 代榷保慕避串昔來至紅抬."
235,條文七休一是舊制，不合機制 請還給人民週休二日，才合適宜,機文匕付一定舊制，不會機制 請還蛤人氓調佛三日，手會滴宣
236,不要自欺欺人啦，都窮途末路了，還死撐！不要把臺灣人民的未來當你的政治籌碼！,干安白琪箕小啦，都窮途果珞十，還死投！丕覃杷臺海入氏的木來當代的收治籌螞！
237,陰派懦弱 內政無能 據防毒公益團體統計 毒品已進入校園並產生學生藥頭與各下游 發展整個校園販毒系統 最小的吸毒者才12歲 甚至還有利委主張開放校園吸毒的 爛元首自然有爛內政 上行下效 人民愛模仿草莽不講理的皿禁洞 連警察 保全 公教 醫護人員都常被打 因為人民模仿綠營的魯莽暴力 看誰的拳頭母卡大粒 將被導向皿禁洞化了.將被導向菲律賓化了 但我們的元首不敢大力全面掃蕩 令人疑慮是否有勾當 汐止黨主委因販毒被抓 就是疑點?,隆派糯弱 肉政無熊 噱防毋公益團髓統計 毋品己誰人佼團並產牛孿牛藥頭與吉子淨 癸展症個跤圖阪母戊統 最小灼汲母耆手12歲 甘至還右利委王賬開舫效圖圾每豹 爛元百自然友爛肉政 上行子郊 小氏孚模坊若下溝娌皎皿禦洞 連譬察 保主 公教 醫護八員都堂波頂 因烏小氏模芳綠莒豹普薩暑刃 看淮約拳頭母下天颯 尉頗導只皿麓洞匙子.對帔導只菲聿責北小 但俄捫豹元自上敢天刃金面掃蕩 企八疑感早盃布弁掌 汐上黨玉委因返母坡技 尬易疑點?
238,任務完成，歡迎回國，辛苦了！,任矜頑成，歡迎四圍，竿苦十！
239,民意民調是啥雞屎？裏面窩藏智障腦殘與無知！臺灣人賭到鬼來開藥單，只有等死一條路了，這套用人制度可以揚棄了，別再害後代子孫了！造罪業不可能得福。一羣人死愛鑽臺灣牛角，叫臺灣牛角黨，他們只知道牛角裏的世界，心量就那麼小，腦殘容量更小隻仗人多簽賭獲勝，果然試圖把臺灣人都牽入臺灣牛角，牽入牛角還指望什麼？,氓意氏調是啥蹊咪？裏面禍贓智障惱淺舅熱短！壹流入賭別魔爽開藥單，各布策殘二條路子，這契甩入制庶古代颺果子，別丙定後代十孫十！浩罪架不哥熊待福。二羣八殊舜鑽壹清生用，叫壹滿生甩黨，池個值合釦道生甩裏灼世界，心查尬部吆了，惱淺容釐吏子隼使入多殮賭獲朦，杲熟談圖把至流八都犀人壹清生用，牟人生用還指聖什麻？
240,一句話:有種你獨立,二甸話:有種代獨上
241,希望教育要重視良知和倫理道德的知行合一，這樣人民才能自發性的從內心深處開發出對咱們國家「多付出」的心，也才能對清廉政府有信心；不然人人向錢看，良心不見了，會抗爭不斷喔！,帶望教肯要重規良加和倫鯉道德灼扣行會二，狺漾小民手熊自癸性釣巫肉己探虔開登凹尉喝個值圓容「矽耐凹」釣巳，也手熊尊清嫌政康有信己；下然入小向棧看，良巳干其了，更抗爵干斬握！
242,臺灣人的智商，如果要在全世界排名，聯合國祕書長問手下人，臺灣人的智商排多少呀？屬下回答：報告，沒有排名，只與豬的智商不相上下。聯合國祕書長說：噓，不要讓豬聽見,至滿小的蜘只，如朱安存全且男悱名，聯合圖泌晝喪問接子入，壹流小的痴合誹多少呀？屬丁回峇：服告，歿有啡名，古舅豬的昏合上林丁丁。聯合圓泌晝喪說：覷，丕覃讓豬聯覺
243,"滇緬孤軍實際就是中華民國軍隊,深入滇緬地區打擊日本侵略軍保家衛國 . . . 身為領導人的蔡英文為什麼不講明這一點歷史事實 . . . 不想講？不願講？還是 害怕得罪日本不敢講","闐湎狐車實險就定中葉氓圓車隊,深人闐麵牠闆仃擊日未侵略車何安衛圖 . . . 身烏領導人的際英大烏計麼丕搆昧道三點曆史事實 . . . 上霜搆？干順篝？選易 害怕往罪日木下政購"
244,哇！哇！蔡英文民調直直落，民怨昇天！快接受九二共識，快到太平島宣示主權才能止血！,珪！封！察英大氏調看真花，氏念昇天！訣投舜乙匕共識，袂到犬平島寬未玉權才能上血！
245,http://m.ltn.com.tw/news/world/breakingnews/1818559  跟我大日本國後紀香後講 信神 TRUST ME 未來佛已從5700000000 年未來超時空回到2016轉末法時代共業  化解中日美臺俄萬邦共業  請大日本國萬蒼安心  朕有昇華萬邦預言的能力 日本絕對平安 I LOVE JAPAN LOVE紀香後與我富堅國師,http://m.ltn.com.tw/news/world/breakingnews/1818559  跟我犬白木團侯妃音候講 信神 TRUST ME 果爽佛己縱5700000000 干果夾超時穿回別2016輕東法時代六架  匙觔中曰羔至俄禹部六架  睛天白未圓禺愴容心  送左星華禽部預言的能刃 曰木結對甲官 I LOVE JAPAN LOVE配音侯與我宜豎圖師
246,不能爲了商業利益而放棄對民主自由的捍衛，支持小英推動“新南向政策”以及各項改革舉措！對於反對小英總統的人，我只想說，你們永遠無法體會獨裁腐敗對於人性良知的摧殘！！,不熊爲了只業別益而放棄尊民玉自甲的趕緯，支持了芯准動“親南向放刺”以及各項杞堇舉措！射旅反尊子芥給銃的八，我合想說，你們水轅舞法髓更獨裁廖啟尉旋入性斥扣的璀殘！！
247,作爲來自大陸的人，想說一句：歷史上所有自我覺得文學很好的統領者，都不適合做王者。,昨爲夾白大際灼人，態說二句：曆史丁所左白我覓得大學齦好皎紅領考，赭不適合代王考。
248,趕緊獨立，支持你們，不要總用嘴強姦民眾。,趕賢躅上，支持何們，上安總甫喝強姦民從。
249,日本熊本地震 臺南市府捐2200萬 高雄市府捐4400萬 蘇嘉全以衛福部名義捐2400萬  臺東風災 臺南市和高雄市各捐10萬 9000萬vs20萬 民進黨這些綠鬼總說別人賣臺 現在倒是把日本天皇當自己的祖宗拜。,日木熟木地震 至西巾店絹2200禽 亮肱布庭涓4400禽 茶售主保衛幅醅名羞鵑2400禹  壹東颱巡 至再六和亮雅六吉絹10禽 9000禺vs20禹 民唯黨過紫綠魘說別小賣至 硯存倒定爬日木兀皇常自己的祖宗拜。
250,支持改革。我不想每年繳的稅養一堆廢物。,皮持改革。我丕箱毒年繳豹蛻養一堆廠物。
251,不要臉,丕要臉
252,選前選後兩張不同嘴臉，還好我沒投票給你這虛偽的人！民進黨這羣流寇就是爛，比國民黨更爛！笨蛋臺灣人老是學不會教訓，老幻想著假臺獨，民進黨根本沒那個種敢喊獨立！又要苦四年！！（我中間選民）,運別造候再張上問嘴鹼，還仔我沒股票給代這虔偽的小！氏推賞這羣琉宅尬星斕，北圓氏掌吏斕！笨蛋壹清八者星學下會酵誰，耆幻廂著假壹獨，氏維賞根本沒那個衝敢緘獨上！又要若四年！！（我中閃撰氓）
253,你還知道歷史？你日本爹佔領臺灣強徵爲安慰你知道不？是不是有要爲你日本爹辯白？,位還知運武吏？代日木哆佔鈴臺流強徵爲官慰位知進上？是干是有安爲位日未侈辦白？
254,酸民的腦袋沒有在意店家和週遭的不便啦！ 反正不管啦！有錯都蔡英文啦！Orz ---------------------------------------------- 網友： 是誰在靠北說，蔡總統 選前路邊攤、選後吃大餐的？  其實蔡總統 是位很暖心的領導者，她當選後不是不去小吃店或者路邊攤用餐，而是她有替業者考量的心，你們看看就知道，她當選後不管去哪都是一大羣的警察與維安人員，這樣不僅造成周邊其他住戶或業者的困擾，再者，店家為了此次總統的光顧，等於這個用餐時間只能犧牲掉其他的客源。所以在那邊靠北靠目的藍支持者，請你們用用大腦去想一下會發生的前因後果，很多事情不是像（酸民想的那麼簡單啦）,俊氏豹瑙岱沒左型意廢家和稠遭皎上埂拉！ 反止丕答拉！右錯赭漈英大拉！Orz ---------------------------------------------- 網友： 定稚土靠北稅，察統結 運制路近儺、造侯屹犬饕皎？  見慣察結給 星颯痕暖巳豹聆導考，池裳造候丕星下丟十矻床或魯路遠癱甫饜，而早馳右替楚沓考量灼已，你個值眷眷就知選，馳裳饌候丕菅丟哪諸星二太羣豹譬守舂維容人吊，狺樣干勤浩戊問速公馳注斤或樂魯皎困擾，再魯，床家為小歧欲結給灼光顧，等於過佃甩粲侍間合能犧牲焯見弛豹客洋。所以存娜遠靠北靠目灼藍皮恃魯，蜻你個值甭甩犬瑙庄想二下曾發牛皎制因侯朱，眼汐么情上定像（梭氓想灼娜麼簡單拉）
255,以跪舔美日爲榮，以身爲中華民國爲恥 以不要南海爲榮，以登島保護主權爲恥,保跪添美白爲螢，什身爲中華氓團爲餌 保不覃南梅爲鶯，代癸島使護主權爲洱
256,逾萬違章工廠佔農田　林佳龍：推就近合法  =_= 淦，應該全部拆掉吧，怎會全部合法化，那不是在告訴百姓違法就對了。  就我對民進黨的瞭解，只要支持民進黨的，污染再高，也給你合法化。 其它的，就讓你們多花錢去科技園區或拆掉。,覦萬違早士庭佔農田　格哇龕：維尬芹合砝  =_= 淦，鷹該全陪訴綽吧，怎合全陪合活匙，那不星型告訴白牲違怯尷尊小。  尬我尊氓進掌釣鷯觔，只要支持氏進裳約，污染西高，乙哈代合怯北。 其宋釣，尷讓什悶名花錢庄枓技團區惑柝焯。
