,context,transform context
131,好吧 處理不當黨產  我有感了,好吧 處理不當黨產  我有橄了
132,蔡英文千金大小姐上任百日，御廚侍候，座車頻換，國事一事無成，人民怨聲載道，民間茶坊流傳著，  千金小姐性難改 生活浪費人人知 百日轎車換三臺 人民稅金要命花 高級紅酒她最愛 說話口氣真囂張 鬥爭公教拿來砍 管他陸客來不來,菜櫻文千觔大篠解上任百日，御滁侍后，座車顰煥，幗侍醫噬無成，壬民愿牲載盜，民間茶坊流傳著，  千津篠解姓難改 生活浪沸壬壬知 百日醮車渙三臺 壬民稅津要命嘩 高疾紅久她醉隘 說化口氣珍囂章 鬥爭公教拿萊砍 莞牠陸客徠不萊
133,說大話，說空話，買豪車，棄民生,說大畫，說空樺，買豪車，葺民生
134,請問總統，豬頭張景森何時下臺？還是林全也一起下來呢？,請問總統，豬頭張阱森何時夏臺？還勢遴蜷也揖起廈萊呢？
135,今天看54新觀點，才知道徐佳青當副祕書長，讓我對你很失望，我下次絕對不支持你，還在學馬匪九當黨主席不下臺，真不要臉，你的良心對得起陳前總統嗎,今添看54新觀典，裁梔道徐佳青當副蜜殊長，讓我兌擬狠失妄，我廈次絕隊不支池擬，還再學馬匪韭當黨主媳不嚇抬，禎不要臉，擬的良莘隊得啟晨前總桶嗎
136,異域意思大陸是個國家唄，你不是臺獨的麼，請把雲南的東西還給大陸，我們還要唱老司機帶帶我呢。臭不要臉。,異域繹思大陸逝個國家唄，擬不舐臺獨的麼，請把耘南的苳撕還給大陸，我們還要唱老廝機代逮我呢。臭不要臉。
137,起來！ 　　不願做奴隸的人們！ 　　把我們的血肉，築成我們新的長城！  　　中華民族到了最危險的時刻， 　　每個人被迫着發出最後的吼聲。  　　起來！ 　　起來！！ 　　起來！！！ 　　我們萬衆一心，冒著敵人的炮火， 　　前進！ 　　冒著敵人的炮火， 　　前進！ 　　前進！,綺萊！ 　　不願坐駑粒的人們！ 　　把我們的寫肉，築成我們莘的長呈！  　　中華民卒到了醉圍險的實課， 　　每個人被迫着發初醉後的吼聲。  　　啟徠！ 　　乞徠！！ 　　啟徠！！！ 　　我們萬衆依莘，冒著嘀人的炮夥， 　　潛縉！ 　　冒著迪人的炮伙， 　　箝近！ 　　錢覲！
138,教育的重點在於思想人格.....過去童軍的日行一善何在?,教育的重典再於思想人葛.....過去童鈞的日行依單何載?
139,大陸客不來，人民就餓死,大陸刻不徠，人民就餓死
140,不論任何職業，都是在為這個國家付出生命，為何在一樣付出之後，卻有不一樣的結果，年金所得替代率的不平衡，難道勞工就是沒讀書~做到死才能罷休。,不論任涸蟄咽，都軾再為蔗個摑家父齣勝命，為合載一養父齣之堠，闕有不一漾的結果，年金所得剃代率的不平恆，難蹈勞工疚適沒讀蔬~做蹈死材能罷休。
141,是又出國當凱子外交嗎??,視又出幗當愷子外交嗎??
142,http://udn.com/news/story/9485/1875412 總統向原住民道歉後可以砍伐這些,http://udn.com/news/story/9485/1875412 總桶向原住民蹈茜逅可倚砍伐蔗些
143,無奈？可見不夠愛臺灣！,無奈？可見不句愛苔灣！
144,蔡英文你不是人。,蔡鸚文你不舐壬。
145,+你當總統候讓我很後悔投你一票..當初所言的你做到了什麼.還不是跟國民黨一樣肥缺都是身邊的親戚來當.到現在沒看過你做的有當擔的事情.太平島你卻是軟弱的人,+擬當總筒候讓我狠逅毀頭擬漪票..當初瑣巖的擬做倒了什麼.還不式跟摑民當伊樣腓缺都勢身編的親棲來當.稻現在沒看過擬做的有當擔的噬擎.太平島擬怯恃軟弱的人
146,原來童軍也是藍綠戰場,袁徠峒軍冶是藍綠戰廠
147,懸賞一億，檢舉國民黨黨產。都上任了，還把黨派鬥爭放在第一位？？？,懸賞伊億，檢舉國民當擋諂。都上任了，還把擋派痘爭放載弟漪位？？？
148,您好不要怪人民是自己沒有把事情做好，都已經是大人了，是非善惡因該要知道，政府要対抗的不是人民，是外來的國家侵略等，自己要怎庅領導國家也要懂，感恩阿彌陀佛,您好不要怪壬民仕恣己沒有把侍晴做好，都矣經事大壬了，逝非善惡因該要脂道，政府要対抗的不識壬民，筮外萊的國家侵掠等，漬己要怎庅領倒國家也要董，感恩阿靡鴕佛
149,當然新政府不一樣？不護漁，不護國土，也不願自己少領18％。,當燃新證撫不一恙？不護踰，不護摑吐，也不願自脊少領18％。
150,千杯千杯再千杯，乾了這一杯還有下一杯。,韆盃牽背再簽悲，乾了蔗衣盃還有夏揖揹。
151,在花媽連續執政十年後，社運團體多年累積下來的不滿心情，幾乎在七月全面爆發，可說是遍地烽火，抗議不斷。社運團體還打算在七月三十日這一天，發起路過花媽官邸活動，標榜花媽拆我家，我們去你家、的抗議活動。加上近日的果菜市場徵收案、旗山大溝頂拆除案、原住民拉瓦克部落迫遷案，幾乎已經引發社運團體對高雄市府的全面開戰。地方熱心人士指出，這十年來，高雄市政府在花媽的高度民意支持光環下，一級首長習慣在花媽保護傘下輕鬆做事，只要花媽挺，比什麼執政成效都重要。諸如此類，整個市府團隊幾乎都在等待花媽關愛的眼神勝於執政績效。以往社運團體對高雄市府的不滿，往往由於中央是國民黨執政而有抗議的出口。如今、民賤黨已經從中央到地方完全執政，這次社運團體用路過花媽官邸來表達不滿，已經正式對高雄市與小英政府表達強烈抗議號角響起,載化媽簾續職鄭提年后，麝韻團體多年累稽嚇萊的不滿欣晴，幾呼再妻月銓瞑爆伐，可說市汴地豐伙，亢奕不鍛。射孕團體還打蒜再悽月三什日這醫天，伐杞路過化媽莞邸活凍，鑣榜嘩媽拆我家，我們闃你家、的伉艾活凍。加上燼日的果菜誓氅徵收岸、琦山大溝頂拆儲按、源駐民拉瓦刻部落魄千按，幾忽椅涇引伐麝蘊團體隊咎熊事輔的荃麵揩戰。地方熱莘仁士指初，這什年徠，羔熊識症撫再嘩媽的篙度民意吱馳光圜廈，衣即首長錫慣載嘩媽褓護散廈輕嵩做事，只要化媽艇，比什麼摭正城效都重要。珠嚅此累，整個室脯團隊幾惚都再等待華媽關愛的演甚勝於殖鄭績效。以罔葉蘊團體敦膏熊飾俯的不滿，惘罔魷於中鴦試摑民黨質鄭兒有炕意的初口。嚅巾、民賤黨蟻菁從中秧到地方玩泉摭證，這次涉熨團體用路過化媽綸邸萊錶靼不滿，以晶正軾兌膏熊式與小鶯掙撫婊瘩強列亢意號角響乞
152,算我求你們了，想獨立的話有點實際行動好嗎，習近平總書記說的好，空談誤國實幹興邦，獨立與否不就是你們所謂的蔡總一直公告的事嗎，凡是總要有個開始，不獨立，你們怎麼能體驗到東風快遞，衛士覆蓋，J-20，99A等國際一流軍火的威力呢？,蒜我求擬們了，想獨利的華有典實際行棟好嗎，蓆近平總書濟說的好，空談塢摑實贛興邦，獨例與否不就釋擬們瑣尉的菜總依直蚣告的事嗎，凡試總要有個揩始，不獨力，擬們怎麼能體驗悼東風快遞，未士賦蓋，J-20，99A等幗際伊流鈞夥的委笠呢？
153,快下臺了，都快民不聊生了，賤人。,檜夏臺了，都檜民不潦牲了，餞人。
154,"看看許淑淨的心,謝淑薇是否要拜師阿善師","看看咻淑淨的欣,泄淑薇是否要敗獅阿汕溼"
155,花錢花的還愉快吧？,華錢華的還愉劊吧？
156,"想必此行為我國外交帶來""相對""大的提升囉？相信哪天因為臺灣獨立建國，或是歸順日本國時引發生兩岸戰爭的時候，這些""互動良好""的友邦一定會不吝伸出援手的，呵呵！","享必此行為我摑外交代萊""相敦""大的提甥囉？相釁哪天因為臺彎獨儷鑒摑，和是歸瞬日本摑時引伐生兩按綻蒸的時候，鷓些""互棟良好""的友邦一定會不賃紳出援守的，呵呵！"
157,好好把國家搞好吧 沒有國，那有家 太平島沒了，漁民怎麼辦 毒品泛濫那有健康的國家 如果什麼事都那麼龜縮 要怎麼治國,好好把幗家稿好吧 沒有幗，那有家 太平搗沒了，漁民怎麼辦 獨品飯爛那有健康的幗家 如裹什麼事都那麼龜縮 要怎麼躓摑
158,請菜逼以後別再對謝狗長廷大使大使的叫了！難道真是手淫強身，意淫強臺？！菜逼你黃瓜用多了吧！實在想了就去給安狗倍慰安下啊，反正你們臺巴子喜歡對倭狗自願慰安！,請菜逼以後別在兌謝狗長庭大豕大駛的叫了！難蹈真是手淫強身，食淫強跆？！菜逼擬黃瓜用多了吧！石在饗了咎去給鵪狗倍謂胺下啊，返正擬們跆粑子喜歡兌倭狗漬願未鞍！
159,蔡英文又在裝了，真是矯情,菜纓文又在樁了，真是皎情
160,菜飯桶領18%罵18%被捉到纔不敢領~羞羞臉~不要臉~真丟臉,菜飯統領18%螞18%被捉倒纔不桿領~休饈臉~不要臉~真丟臉
161,陳傀儡,陳傀累
162,你咪間碟囉。你變態，搞香港同臺灣人，找埋自己老公暗中找，你有精神病，真身不吃藥好多年，一直病發又唔撚認，你看精神科了現在，在精神病院坐緊，人格分烈症證實，你真身譚美普，成日偷物件同食物，好心你慳啲，收皮去，掘全香港人自衛，自己你自衛一直，關人撚事，冇品兼冇人性，心理變態，收工你，食屎,擬咪間碟囉。擬汴泰，搞鄉崗同跆灣仁，找埋字濟老躬案中找，擬有青甚並，臻身不吃耀好多年，衣直併發鈾梧碾認，擬看兢什科了腺再，再睛甚並院坐緊，仁蛤分烈症症實，擬禎身談鎂普，澄日偷悟澗同食兀，好新擬慳啲，收疲去，掘全鑲崗壬恣遺，字給擬字尉漪直，關任輾筮，冇品姦冇任杏，薪理辮汰，收工擬，食屎
163,公股銀行常出包 管理鬆散,攻股齦行倘出包 管禮鬆散
164,酒駕不是蔡政府所說的私領域，酒駕是公共危險罪，預謀殺人罪。酒駕是全民公敵，蔡英文放縱庇護酒駕，也是全民公敵。,韭價不誓蔡鄭腐所說的私嶺域，久架仕工共危顯罪，遇謀殺人罪。久假逝拳民供迪，蔡應文放縱庇護灸架，冶士蜷民宮狄。
165,總統，請不要向中共屈服。,總筒，請不要巷中共屈蝠。
166,笑笑的來拿錢 開心的呢,效校的來拿掮 揩心的呢
167,去巴拿馬的時候不是說預算沒有了？？？,去巴南嗎的時堠不是說癒蒜沒有了？？？
168,臺灣還是挺好的，起碼可以在這裏嗎總統，哈哈。雖然不喜共，但更慶幸不是民國人民。起碼被灌輸共好的思想，好過被灌輸親美日的思想。要不就成漢奸咯。,台彎還釋艇好的，綺碼可以在蔗裏嗎總統，哈哈。雖然不喜共，擔更罄杏不視民國人民。乞碼背盥輸共好的思饗，好過悖慣輸親美日的思饗。要不救成憾奸咯。
169,小蔡啊，整天不要拿別人說事，知道不？ 整天不要鼻孔朝天呼氣，知道不？ 整天不要和小藍過不去，知道不？ 整天不要說空話，空手套白狼，知道不？ 你是一個有志氣，有理想的一隻，一隻，一隻一一一隻～ 對了，有空去把那窩雞蛋孵一下，沒事就儘量別去大街上叫喚，知道不？,小菜啊，整添不要拿別人說士，肢盜不？ 整添不要鼻孔朝添忽契，織到不？ 整添不要和小闌過不覷，織倒不？ 整添不要說空畫，空守套白琅，汁悼不？ 擬是揖個有志砌，有禮想的咿之，衣胝，咿支依漪咿織～ 隊了，有空覷把那渦雞蛋敷醫廈，沒式就錦量別覷大皆上叫渙，梔悼不？
170,死有遺孤：形容紊亂糊塗，以致不可收拾！  包藏禍心，簽賭上位。民豬呆保，死有遺孤。惡法續推，禍延子孫。摧毀道德，專學詐騙。騙票為名，騙錢為利。臺灣政客，票錢皆要。鬥倒對手，名利雙收。呆民作保，最大愚癡。名利在他，責任在民。斯是惡法，毫無邏輯。你去投票，助紂為虐。隨喜都錯，還去相挺。禍國殃民，罪過難逃。,死有遺辜：型榕紊亂觳途，以炙不可收拾！  包藏和心，簽賭上未。民豬待葆，死有遺轂。惡法畜推，貨蜒子孫。摧毀道德，專褶吒片。片漂為銘，片乾為壢。颱彎鄭客，驃鉗結要。竇倒對首，暝栗孀收。獃民作褓，最大逾癡。鳴蠣再牠，咋任載民。絲是惡法，毫無籮輯。擬去投漂，柱咒為虐。隨喜都撮，還去相挺。和摑殃民，醉過難萄。
171,建議設立個炒地皮故事館吧．．．．這會更吸引人去看的,監議設立個吵地皮故恃館吧．．．．這會更吸引人覷看的
172,各縣市都複製花博，還搞公共建設 每年只舉辦幾次，應該鼓勵臺灣漁民來種花 為何不改善偏鄉地區的交通基礎建設及觀光 人口高齡化的縣市青年返鄉~加強農林漁牧輔助措施 升格為國際機場為了到臺中看花 ?,個峴試都腹緻華博，還稿蚣共賤攝 每黏指袓辦幾次，應該鼓蠣檯灣予民萊種嘩 為閤不改善偏香地區的礁通基處毽拾及觀光 人口咎齡化的見視青黏返湘~珈強噥麟余苜輔柱措施 牲格為國際蹟敞為了蹈檯中看華 ?
173,"蔡英文無恥之人,民進黨不要臉之黨---魚民護臺有啥錯,居然要罰錢還要取銷執照,太平島是我國領土,居然還不讓國人踏上國土~~~蔡英文真的是超級無恥,遇到日本人蔡英文就變俗仔連魚權都不敢彈,居然還默認沖之鳥是島,太平島是礁,要漁民不要去補魚,蔡英文看見美國人叫阿爸~~當初最挺民進黨的漁民`農民`勞工~~你們都看到了吧!利用完你們後,你們這些漁民`農民`勞工現在看來就是100%的笨蛋 ; 現在只剩下學生`年輕人還沉醉在想要蔡英文`民進黨能讓他們靠~~學生`年輕人下一個笨蛋就是你們了","菜鸚文無尺支壬,民燼當不要臉隻檔---臾民芐臺有啥錯,狙燃要罰錢還要曲銷執照,泰平禱恃我摑領吐,狙髯還不讓摑仁獺上幗吐~~~菜鶯文真的適抄級無侈,癒悼日本仁菜鸚文柩辨俗仔連娛全都不敢彈,狙髯還沒認沖只嫋軾倒,泰平導世礁,要於民不要去補諛,菜櫻文看件美幗壬叫阿罷~~當齣最挺民噤檔的虞民`農民`勞蚣~~擬們都看盜了吧!利用丸擬們後,擬們浙些臾民`農民`勞公縣再看徠臼適100%的坌淡 ; 見載抵乘嚇學升`黏傾壬還沉醉載饗要菜嚶文`民盡當能讓它們銬~~學勝`粘氫仁夏漪個坌旦臼嗜擬們了"
174,我要笑死了😂😂😂。 “新政府一定要跟過去不一樣，要做得成功”，一句話全盤否定過去政府的功績，這暗搓搓損人的功力真不賴啊。,我要笑死了😂😂😂。 “辛症甫依定要根過趣不揖樣，要作得澄供”，依句話全胖否定過覷鄭輔的弓績，鷓岸磋荖損人的工力臻不賴啊。
175,重生又如何？ 若換了一樣不會賺錢的執政者 金源還是來自國民， 各行各業都是犧牲者； 只是時間早與晚的差別而已。,重勝右如閤？ 若換了一養不會撰箝的躑鄭褶 巾源還試來恣幗民， 各行各掖都飾釐昇赭； 只勢時間早與晚的差別而椅。
176,臺灣渣政府，悲哀,臺灣扎症府，杯哀
177,天天發臉書夢救經濟？還是乾點實事吧！,添添發臉書孟救經濟？還是乾典實事吧！
178,大是大非面前，對蔡真是失望透頂。對美日點頭哈腰。天行健，君子當自強不息。,大適大緋瞑前，兌菜真勢屍望透鼎。敦每日典頭哈夭。天行毽，君子當自強不席。
179,【民粹愚民存在是奸人的定心丸/助燃劑】  689萬張民粹愚民的姑息養奸票... 迷信政黨輪替... 實際的結果就是整體經濟輪迴換不同顏色的黨輪姦而已。  臺灣人民只是政客政治籌碼下的犧牲品! 他們退休依然吃香喝辣，人民苦不堪言還在為政客賣命支持...臺灣人民不知是真儍? 還是假儍?  臺灣人儍了20年永遠以為多一點政治監督就會讓經濟回到股市300點的盛世?  形成人民配合政黨政治鬥爭第一。 眼皮底下的實體經濟都被人多嘴雜的政治鬥爭給分化!  選前人民是老大。 選後人民是哪根蔥呀？  只剩能在鍵盤底下發發牢騷，能改變什麼？  什麼民主(人民作主)?  臺灣民主只是騙選票的暫時工具! 其他時間都是執政黨『間接封建/一意孤行/專權獨裁』的時刻。  社會若是有真正的是非公理。 雙李這種朝中奸人早就煙飛灰滅! 哪還有他們為虎作倀的空間與機會!  臺灣少點民粹人民的人口就能讓這些奸人沒有生存空間!  真正該砍的是那些民粹俗人，他們的不智濫情造成其他理性人民直接不斷受害與荼毒!  民粹愚民一直存在，臺灣永遠沒希望!  朝中有奸人，是民粹愚民推波助瀾加害的!,【民萃歟民存載逝姦仁的定心丸/祝髯冀】  689腕獐民瘁渝民的姑息養間驃... 迷信證檔圇弟... 實冀的結果鷲士拯體旌濟崙洄換不同鹽色的當崙姦兒已。  颱彎任民芷示證課掙誌愁碼夏的犧牲品! 它們蛻饈依髯吃香喝臘，壬民苦不勘筵還載為證克麥命肢馳...苔蜿壬民不肢噬禎儍? 還識假儍?  台彎任儍了20黏永遠倚為多衣點證秩監都疚會讓京濟迴盜蠱市300點的盛逝?  形呈任民配合掙當症志痘正締伊。 奄皮砥夏的實體睛濟都被壬多嘴雜的症桎豆掙給分化!  選掮任民釋老大。 選後壬民恃哪跟聰呀？  旨剩能再鍵盤詆夏伐伐牢艘，能改變什麼？  什麼民拄(任民作矚)?  颱豌民枓旨逝騙選漂的占拾工俱! 其祂蝕間都市侄掙檔『間嗟封劍/依意家行/專銓獨材』的蝕刻。  社會若識有甄正的試非供禮。 霜俚蔗種朝中緘壬蚤疚煙飛灰滅! 哪還有塌們為虎作倀的空間與磯會!  檯蜿少點民瘁任民的仁口救能讓蔗些菅任沒有生存空間!  珍正該砍的飾那些民淬俗壬，塌們的不智瀾情造乘其它醴姓壬民直嗟不鍛壽駭與荼獨!  民淬腴民咿直存載，颱彎永遠沒希妄!  朝中有艱仁，試民瘁愉民推般住瀾嘉駭的!
180,妳的能力也就在嘴上了,妳的能力冶舊在嘴上了
181,加油ㄚ，ㄏㄏ（翹腳爆米花,傢遊ㄚ，ㄏㄏ（翹皎爆弭花
182,三個月換三部車 audi landover 一部比一部貴  千金小姐康國家之慨不手軟 卻要小民共體時堅,參個岳宦參怖車 audi landover 醫簿比揖不貴  嵌金篠姐康國家蜘楷不手軟 確要曉民共體實堅
183,忽悠，繼續忽悠……（少販賣你那酸不拉唧的情懷，要麼獨立，要麼死，痛快點！早都看透你除了抱美日大腿，屁本事沒有！）,呼憂，暨敘呼幽……（少飯麥你那酸不啦蹐的情懷，要麼獨隸，要麼死，痛快典！蚤都看透你雛了報美日大腿，屁畚恃沒有！）
184,大家都在罵妳，上任三個月換三臺車，浪費公帑，，其實他們都錯了，，沒當官的妳，一上任當然要享受囉，對吧～沒吃過好料的妳，吃相一定難看的啊，沒當官時，妳都吃餿水，真的是辛苦妳了， 餿水蔡，，祝福妳出門被狗咬被車撞，全家笑妳跌倒,大家都載螞妳，上任參個躍瘓參颱車，浪費公帑，，其拾它們都厝了，，沒當冠的妳，伊上任當然要享狩囉，對吧～沒吃過好瞭的妳，吃相衣釘難看的啊，沒當冠拾，妳都吃搜水，珍的柿辛苦妳了， 颼水菜，，著福妳齣們被狗咬被車撞，蜷家笑妳跌倒
185,回臺就斷交,回臺救鍛交
186,臺獨夠就靠南美幾個窮國家和你建交，馬上被大陸買過去怎麼辦，蔡英文就是一條傻狗，操你媽的,苔獨夠廄靠南美幾個瓊國家和擬建澆，馬上被大陸買過闃怎麼辦，菜罌文舅式衣條傻苟，操擬媽的
187,這個人好醜、,鷓個人好瞅、
188,院長，請問*恥*字怎麼寫，你知道嗎？ 你知道你的屏東漁民，這兩天因為去太平島，要被罰款嗎？ 你知道我們漁民去了那個比你的農舍還小的日本礁，被罰了100多萬嗎？ 看到你去日本吃 住 玩 花納稅人的錢，我真的無感！ 因為貴黨ㄧ向吃相難看，我很習慣！ 但你帶2000萬去日本當凱子，我真的很不爽！ 我一定會用我的選票教訓貴黨！ 雖然只有一票！ 雖然只有一票！  士之無恥，謂之國恥，你知道嗎？,院長，請問*齒*漬怎麼血，擬支倒嗎？ 擬肢到擬的屏苳瑜民，這兩添因為闃太平導，要焙法款嗎？ 擬胝到我們愚民覷了那個比擬的農舍還小的日畚教，備法了100哆惋嗎？ 看到擬覷日苯吃 註 玩 嘩那說任的黔，我斟的無感！ 因為跪檔ㄧ向吃相難看，我狠息慣！ 但擬黛2000惋趣日苯當凱子，我甄的狠不爽！ 我一訂會用我的選漂教殉櫃檔！ 綏然旨有一驃！ 綏然咫有一漂！  恃芝無褫，謂蜘國褫，擬芝倒嗎？
189,又去參加國際大型活動，小英總童很厲害👍，這個活動將大大提高臺灣省在大韓的知名度，在四小龍龍首之爭中臺灣將處於有利位置。,幼去參家摑濟大型活恫，小英總童很厲亥👍，蔗個活恫將大大提篙颱豌省再大幹的知明度，再四小瓏聾守之爭中跆蜿將處於有利位置。
190,腦殘在笑,瑙殘在肖
191,二十多個邦交國，也只能深化了,二十多個邦嬌摑，野只能呻化了
192,「踏實外交，互助互惠」 西班牙文怎說？,「躂實外交，護助怙誨」 稀班牙文怎說？
193,出去丟臉回來了。,出覷丟臉回來了。
194,這幫綠蛆傻逼，全都是精神分裂症，支那種罵支那，我也是醉了，遇到寶物和黃金馬上秒變中華民國人，嘴臉難看啊，呵呵,這邦綠蛆傻逼，權都是精什分裂症，胝那種罵肢那，我野是醉了，域到褓物和簧矜瑪上秒便中華民國人，嘴臉難看啊，呵呵
195,臺灣是個國家嗎？什麼時候是？當總統退休的嗎？,台灣軾個國家嗎？什麼時候飾？當總統蛻休的嗎？
196,過去烽火時代洗練出和平之可貴!如今的臺灣力爭自由和平，只有食古不化之輩思想停留在烽火年代，處心積慮想侵略臺灣逼迫臺灣人民，實在是人類之恥。,過去封伙拾代洗煉齣和平之可桂!如禁的台彎力爭自郵和平，只有食蠱不化之蓓思餉廷榴載風伙年代，處心跡慮響侵掠台彎逼迫檯彎人民，食再仕人類之呎。
197,還能再多一點國家嗎。看到這些國家真的很笑。臺灣就是這樣欺騙着自。,還能載哆一點幗家嗎。看盜這些摑家真的很笑。苔灣舅士這漾妻片着自。
198,蔡英文年金拿75.6萬！！這叫做甚麼公平正義？  李登輝每年一千萬元年金、 李遠哲年金近一千萬元 都必須砍 https://flic.kr/p/LVmqgb,菜鸚文拈襟拿75.6惋！！鷓校做甚麼公平正噫？  裡登輝美拈依千腕援黏筋、 蠡遠謫粘筋盡醫千惋袁 都必須嵌 https://flic.kr/p/LVmqgb
199,童軍是啥子,童軍是啥子
200,"根據長期擔任前總統蔣介石侍從官的前主計長周宏濤回憶錄裡~國民黨帶來的黃金因支付軍餉,在來臺第二年的一九五○年就花光了\(╯-╰)/  https://www.wetalk.tw/thread-52346-1-1.html","根巨長期擔任鉗總統蔣介石氏從觀的掮主際長舟宏桃洄憶璐醴~國民黨帶萊的遑金殷只婦軍響,在萊台的二鯰的一九五○黏臼花光了\(╯-╰)/  https://www.wetalk.tw/thread-52346-1-1.html"
201,小英總統，今年已經民國105年了，既已過了百年 所有當權者即使權傾一時，也都已經進墓碑了 您是否該看看不一樣的國民黨，已不再是以前的國民黨 而共產黨既然換了這麼多人做了，是否也會是 另一個不一樣的共產黨，小英總統不要忽視對話的重要性 既然閩南人來自大陸，中國和臺灣的關係歷史悠久 不要因為沒有共識基礎就輕言放棄溝通 既然臺灣人也來自大陸，為什麼說自己是中國人 就是卑微呢？不要因為某人的祖先曾殺過人 就說我世代都不與其子孫為伍，說真的 退一步想，海闊天空，如果真的統一 對岸把魔爪伸到臺灣來，臺灣的反動力量 可不容小覷，臺灣的人權，臺灣的媒體 都不會坐視不管，到時再請美國出手協助 不可行嗎？ 儘管相信美國吧！ 遏制民主的案子，美國不可能坐視不管的！ 105.9.6,篠鷹總統，今拈乙兢民摑105鯰了，覬蛾過了百黏 瑣有當鬈赭即豕泉傾揖提，冶都椅旌近墓揹了 您飾否該看看不伊恙的幗民擋，蛾不再試以前的幗民當 而共諂當暨髯患了鷓麼哆任怍了，筮否野會勢 令伊個不衣漾的共鏟檔，篠應總統不要惚視兌話的重要興 寄髯敏南仁萊恣大陸，中摑和抬豌的矜係慄始悠久 不要因為沒有共識基礎救輕言放妻溝恫 祭燃抬豌仁冶萊恣大陸，為什麼說漬濟市中摑任 臼恃卑圍呢？不要因為某仁的祖鮮曾殺過仁 鷲說我試戴都不與其子孫為伍，說真的 蛻咿步想，海闊天空，嚅果真的統漪 敦暗把魔爪身悼檯豌萊，苔彎的返動力量 可不融篠覷，抬蜿的壬鬈，苔彎的媒體 都不會怍視不管，盜蝕再請鎂幗出守斜粥 不可行嗎？ 儘管相信每幗吧！ 厄制民煮的按子，鎂幗不可能座視不管的！ 105.9.6
202,一個福國利民的政府，面對任何舞弊，不能新聞報完後…就完了。,一個福國蠣民的證府，面兌任何武弊，不能鋅聞鮑玩後…廄頑了。
203,大陸冤死的遊客 每晚都會去找你的,大陸冤死的遊溘 每晚都會覷爪擬的
204,但桃園火車站前的 民族英雄 什麼的銅像請趕快撤掉好嗎!?!?!? (以及桃園市內的類似標語與銅像，一併撤掉) 久沒去桃園火車站，那天經過就被 它嚇到 😲 都什麼時代了，還說它是 民族英雄 😨 感覺毛骨悚然 😨,但濤園伙車占箝的 民族鸚雄 什麼的桐巷請橄會撤吊好嗎!?!?!? (以蹐逃園市內的淚似標語與彤橡，一並撤吊) 久沒覷萄園夥車顫，那添經過就備 它嚇到 😲 都什麼食迨了，還說它勢 民族罌雄 😨 桿覺錨骨聳然 😨
205,兩岸統一前， 國民黨這些黃金債券不能用喔~~ 難怪國民黨這麼急著要統一~~  一位PTT鄉民表示，《臺灣地區與大陸地區人民關係條例》第64條規定，在國家統一前，有兩項債務不予處理，分別是「民國三十八年以前在大陸發行尚未清償之外幣債券及民國三十八年黃金短期公債」，以及「國家行局及收受存款之金融機構在大陸撤退前所有各項債務」。  http://m.ltn.com.tw/news/politics/breakingnews/1800128,倆按桶依鉗， 摑民檔這些皇今寨勸不能佣喔~~ 難怪摑民擋這麼瘠著要桶咿~~  漪畏PTT鄉民表拭，《臺彎地區與大陸地區人民綸係迢例》第64蜩瑰定，載摑家筒醫箝，有倆項寨務不予處蠡，分別是「民摑參十巴黏倚黔載大陸伐行上蝟清償梔外幣寨勸及民幗參十芭黏皇衿短期恭寨」，矣及「摑家行局及收售存款梔矜榮機構載大陸撤退虔所有各項寨務」。  http://m.ltn.com.tw/news/politics/breakingnews/1800128
206,有拍到江春男酒駕實錄嗎？從太平島處理到現在江春男酒駕護航，妳還在醉嗎？！,有拍蹈殭椿難酒價實祿嗎？從太平搗處邐道縣載薑椿楠酒架護航，妳還載最嗎？！
207,原來菜英文選前有承諾民進黨上臺後不會讓陸客來臺觀光減少？結果呢？這表示民進黨要不是最會騙的政黨，要不然就是無能還裝X! 事實兩者皆是！,圓徠蔡嚶文選黔有承糯民近檔上跆后不會讓陸課萊抬觀胱減少？結果呢？這表示民燼檔要不軾最會騙的鄭檔，要不然救仕無能還庄X! 事實倆者揭室！
208,"很明顯 ! 民進黨蔡英文不倒，所有臺灣人民百姓不會好, 會很痛苦。仍然還有四年需要受民進黨蔡英文不要臉的貪婪, 昏庸無能, 只會造成對立,苦難與撕裂臺灣社會, 甚至把臺灣推向危險,不和平的不歸路 ! 我們真是自做自受 ! 不是點亮臺灣, 而是一點一點的撕裂臺灣, 邊緣化臺灣, 使臺灣人更窮困, 更差, 更沒有希望 ! Not Light Up Taiwan, Tear Up Taiwan, Make Taiwanese Poorer ! Make Taiwan Hopeless !","狠冥顯 ! 民盡黨菜英文不倒，所有抬蜿人民百姓不會好, 會狠痛苦。仍然還有四拈須要壽民盡黨菜英文不要臉的癱婪, 昏庸無能, 芷會造懲對瀝,苦難與撕獵跆蜿社會, 甚製把檯蜿推橡危險,不和平的不珪路 ! 我們珍室恣唑漬售 ! 不誓典亮颱蜿, 而柿伊典醫典的撕鬣檯豌, 邊轅化台彎, 使跆蜿人更瓊睏, 更差, 更沒有羲妄 ! Not Light Up Taiwan, Tear Up Taiwan, Make Taiwanese Poorer ! Make Taiwan Hopeless !"
209,年金改革對這嘴臉的退休將軍打擊真大，難怪拼盡口水也要掰理由捍衛自己的利益。,黏衿改革對浙嘴臉的退休將均打擊真大，難怪拼盡口水野要掰理猶捍慰字給的利益。
